Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
61111,Proleb,1557,12.5,25.4,3,79.2,2.7,70.8,11.9,85.3,715,2.18,496,101,111,237
61110,Niklasdorf,2388,11.6,24.8,10.2,74.1,5.1,69.1,6.2,75.8,1240,1.9,682,136,166,1213
61109,Mautern in Steiermark,1762,11.5,26.2,4.3,73.3,3.8,67.9,5.1,60.9,795,2.11,493,113,139,682
61108,Leoben,24473,11.1,23,17.6,66.9,6.8,61.5,13.7,40.9,12824,1.84,6353,1183,1566,17230
61107,Kraubath an der Mur,1318,12.4,22.8,3,78.5,2.7,70.6,10,78.6,572,2.27,402,90,103,342
61106,Kammern im Liesingtal,1579,12.3,24.2,4.9,77.6,3.5,70.2,6.6,71.3,661,2.32,469,144,147,506
61105,Kalwang,979,11.8,25.4,5.2,73.1,3,70.7,5.6,59,496,1.97,277,47,61,515
61101,Eisenerz,3833,7.4,39.2,4.8,68.2,5.7,68.5,6.5,39.5,2110,1.78,1083,187,252,1349
61059,Wildon,5489,13.4,19.2,11.1,75.9,5.2,64.6,10.1,80.4,2362,2.28,1603,434,481,1819
61058,Straß in Steiermark,4940,14.8,17.7,12.7,74,4.9,65.9,6.2,76.6,2063,2.39,1467,345,398,2564
61057,Schwarzautal,2290,13.2,20.7,4.8,79.9,2.7,65.1,4.6,68.4,816,2.81,709,267,280,1380
61056,Sankt Veit in der Südsteiermark,4065,14.1,19.8,4.6,76.5,2.9,65.6,6,72.4,1520,2.64,1220,394,417,1416
61055,Sankt Georgen an der Stiefing,1552,15.3,18.8,4.5,77.4,3.8,66.2,11.9,79.2,617,2.52,475,123,133,462
61054,Leutschach an der Weinstraße,3665,13.8,19.8,3.7,76.9,3.3,61.3,4.8,59,1355,2.68,1057,439,466,1223
61053,Leibnitz,12405,12.8,19.4,14.1,71.9,7.2,62.3,11.1,65.2,5904,2.09,3563,1112,1362,7764
61052,Heiligenkreuz am Waasen,2833,14.9,17.9,6.7,79,2.8,66.5,8.7,80.7,1131,2.47,839,205,234,764
61051,Gleinstätten,2775,12.7,18.4,3.7,77.1,3.2,64,7.6,69.8,1188,2.34,840,262,287,1210
61050,Gamlitz,3208,13.8,21.4,4.5,76.2,3.9,62.9,5.8,65.5,1251,2.52,949,341,368,1264
61049,Ehrenhausen an der Weinstraße,2519,14.1,19.5,9.1,74.1,6.3,62.2,7.8,75.9,1144,2.2,740,211,237,925
61045,Wagna,6176,13.5,17.9,11.6,74.6,6.1,65.1,9,84.2,2910,2.1,1800,321,357,2175
61043,Tillmitsch,3364,12.5,17,5.7,75.3,5,68.4,7.1,84.1,1364,2.41,1027,244,261,1059
61033,Sankt Nikolai im Sausal,2291,13.5,21.2,4.5,75.8,3.4,67,8.9,76.9,878,2.54,671,193,210,600
61032,Sankt Johann im Saggautal,1999,13.4,20.9,2.3,78.9,2,63.8,5.1,75,764,2.6,613,166,175,501
61030,Sankt Andrä-Höch,1729,11.9,21.4,3.6,75.5,4.4,64.4,5.9,79.6,645,2.59,499,153,164,372
61027,Ragnitz,1520,13.8,19.3,4,76.8,4.1,66.7,6.7,77.6,579,2.61,468,131,141,534
61024,Oberhaag,2069,13.8,22.2,4.6,75.2,3.7,63.6,3.8,75.2,778,2.63,606,172,181,489
61021,Lebring-Sankt Margarethen,2200,13.9,19.2,11.5,75.3,5.3,67.4,9,79.6,906,2.39,679,187,217,1886
61020,Lang,1339,15.2,16,5.8,78.7,3.3,67,11.5,77.7,553,2.42,405,132,150,575
61019,Kitzeck im Sausal,1234,13.1,22.3,3.5,77.4,2.5,65,9.3,73.9,507,2.43,370,141,149,933
61017,Hengsberg,1493,16.6,16.6,3.1,79.1,4.4,65.2,10.4,79.4,558,2.68,447,136,148,314
61016,Heimschuh,1947,14.4,20.6,3.4,75.8,3.7,66.6,6.9,78.5,781,2.46,596,157,168,484
61013,Großklein,2248,12.8,20.2,3.1,76.1,4.6,64.1,6.7,72.3,846,2.61,665,231,247,766
61012,Gralla,2556,16.4,12.2,9.4,78.1,4.2,71,6.7,86.8,1082,2.32,746,163,228,1239
61008,Gabersdorf,1232,15.3,15.4,7.4,77.6,6.1,67.6,5.8,76.3,477,2.58,364,131,142,764
61007,Empersdorf,1418,14.3,18.8,3.5,80.8,3.4,70.3,6.9,84.1,547,2.59,450,108,110,378
61002,Arnfels,984,13.6,25.3,6.4,70.9,6.3,60,8,72.4,399,2.31,266,84,108,475
61001,Allerheiligen bei Wildon,1528,15.4,20.6,4.6,78.7,3.1,65.1,11.1,79.5,599,2.49,448,133,141,371
60670,Premstätten,6327,14.6,18.4,13.1,78.8,4.5,65.1,12.8,78.1,2672,2.27,1798,518,624,6335
60669,Seiersberg-Pirka,11391,14.2,16.8,14.1,77,4.2,62.9,16.4,83.2,4883,2.32,3339,1032,1297,9304
60668,Sankt Marein bei Graz,3751,14.5,18.6,4.7,78.8,2.8,64.8,11.6,79.8,1454,2.57,1149,298,312,710
60667,Raaba-Grambach,4665,16.2,17,10.3,78.5,3.3,61.7,20.1,79.3,1916,2.43,1402,519,603,6352
60666,Nestelbach bei Graz,2634,14.2,20,3.7,79.9,2.7,64.4,12.7,80.4,1026,2.52,783,247,264,620
60665,Hitzendorf,7236,15.5,19.5,4.5,80,2.4,66.7,14.8,80.9,2837,2.52,2219,548,579,1338
60664,Gratwein-Straßengel,12805,14.5,20.2,6.3,77,3.4,63.8,17.4,78,5463,2.31,3783,850,941,3518
60663,Frohnleiten,6545,12.1,23.3,6.3,77.3,3.4,68.9,10.3,54.2,3056,2.12,1927,526,600,3246
60662,Fernitz-Mellach,4863,14.8,18.1,5.9,79.1,3.3,67.7,12.9,82.5,2011,2.4,1488,378,419,1368
60661,Eggersdorf bei Graz,6815,16,19.3,6.5,78.5,2.9,64.8,14.9,76.7,2661,2.53,2010,614,644,1774
60660,Dobl-Zwaring,3525,17.2,16.7,6.7,79.4,3,67.9,11.8,81.1,1390,2.52,1039,323,365,1609
60659,Deutschfeistritz,4380,15,18.9,8.9,78.3,3.2,66.6,10,81,1859,2.32,1292,288,329,1220
60656,Wundschuh,1635,15.7,17.8,9.4,79.2,3.1,69.7,10,80.2,649,2.52,498,145,166,1261
60655,Werndorf,2358,15.8,16.5,11.7,77.3,4.5,71.2,8.3,87.4,998,2.36,724,116,159,1976
60654,Weinitzen,2667,15.1,21.5,4.7,74.5,2.8,60.6,21.6,81.1,1011,2.57,796,213,223,889
60653,Vasoldsberg,4598,15.3,20.4,5.5,77.9,3,64.3,14.8,80.7,1753,2.57,1401,363,382,1009
60651,Übelbach,2032,13.1,23.5,5.9,79,3.9,68,7.4,70.1,868,2.25,583,168,179,896
60648,Thal,2280,15.3,21,6.9,74.7,3.5,61.2,21.6,85.5,907,2.46,689,145,154,314
60647,Stiwoll,709,14,19.7,2,80.4,1.5,70.2,8.5,84.8,252,2.81,213,61,63,94
60646,Stattegg,2937,16.4,21.4,4.2,78.8,2.4,55.9,30.9,83.8,1217,2.41,892,279,299,505
60645,Semriach,3291,16,21.1,7.7,79.4,2.9,67.7,9.8,68.4,1182,2.71,932,335,350,999
60642,Sankt Radegund bei Graz,2148,13.1,21.2,3.7,77.5,2.5,62.2,20.6,74.4,915,2.35,625,201,215,703
60641,Sankt Oswald bei Plankenwarth,1273,15.1,20,2.7,80.3,2.9,65.7,14.3,85.5,505,2.47,392,96,100,191
60639,Sankt Bartholomä,1440,16.5,19.6,3.1,79.9,1.9,69,11.1,80.9,562,2.56,446,124,129,380
60632,Peggau,2334,14.1,20.3,12.6,73.5,4.5,66.2,9.3,78.8,1061,2.12,652,129,160,1390
60629,Lieboch,5207,13.6,20.6,8.8,77.3,4.3,67,13,81.6,2274,2.21,1515,371,439,2846
60628,Laßnitzhöhe,2761,13.4,21.6,8.9,78,3.5,64.2,18.6,80.9,1211,2.21,774,225,249,1400
60626,Kumberg,3836,16.2,18.1,3.7,79,2.1,61.7,21.1,79.3,1518,2.53,1156,331,356,853
60624,Kalsdorf bei Graz,7417,16.1,15.5,15,78.3,4.6,66.5,10.1,81.5,3150,2.31,2129,441,551,5440
60623,Kainbach bei Graz,2821,13.4,22,4.9,62.9,2.8,51.9,22.6,80.6,913,2.52,695,214,228,1632
60619,Hausmannstätten,3485,15.9,17.9,9.3,78.9,2.9,61.1,19.7,84.1,1448,2.38,1048,326,374,1485
60618,Haselsdorf-Tobelbad,1515,15,19.4,6.4,80.8,2,67.5,16.6,79.9,633,2.39,486,107,117,725
60617,Hart bei Graz,5193,14.2,18.3,9.4,76.6,3.4,58.6,25.2,83.5,2202,2.33,1535,390,438,3601
60613,Gratkorn,8056,14.9,19.7,10.5,77.2,5.2,66.3,11.7,76.3,3676,2.15,2298,541,610,4891
60611,Gössendorf,4107,15.9,18.2,10.6,78.7,4.4,65.1,13.7,85.6,1646,2.45,1238,329,368,1932
60608,Feldkirchen bei Graz,6698,15.2,16.2,19.4,77.2,4.3,64.1,11.1,84.8,2847,2.31,1900,438,539,3414
60351,Wies,4322,12.9,22.8,3.9,76.3,4.3,65.4,5.7,67.7,1736,2.46,1282,380,421,1806
60350,Stainz,8749,13.5,20.8,4.5,76.7,3.8,67,11,69.6,3688,2.35,2551,697,766,2959
60349,Schwanberg,4564,12.7,22.2,3.7,75.2,3.7,66.1,8.3,74.3,1793,2.52,1398,350,389,1370
60348,Sankt Stefan ob Stainz,3580,12.6,20.7,4.3,77.7,3.2,68.2,9.6,73.2,1417,2.53,1075,379,400,1042
60347,Sankt Martin im Sulmtal,3099,13,22.8,2.9,77.9,3.7,64.1,7.5,73.3,1208,2.53,929,254,268,1042
60346,Groß Sankt Florian,4142,13,20.6,4.1,78.2,3.6,66.9,8.3,73.1,1655,2.49,1251,376,403,1467
60345,Eibiswald,6391,12,23,3.8,72.2,5,65,5.9,60.6,2653,2.35,1846,540,600,2242
60344,Deutschlandsberg,11649,13.1,21.9,8.5,73.4,5.7,63.9,12,51.5,5278,2.18,3281,1023,1242,8069
60341,Wettmannstätten,1631,14.7,18.5,2.9,77.7,3.2,68.8,7.4,77.1,629,2.59,494,131,140,519
60329,Sankt Peter im Sulmtal,1258,11.8,20.9,2,70.3,6,68.3,6.2,75.5,494,2.45,378,89,91,438
60326,Sankt Josef (Weststeiermark),1626,16.8,16.9,3.9,79.5,2.7,67.2,12,82.6,658,2.47,483,105,111,325
60324,Preding,1777,13.8,19.5,3.9,78.2,3.9,69.9,9.7,77.7,742,2.34,526,156,174,947
60323,Pölfing-Brunn,1631,11.8,26.3,4.7,72.5,5.3,62.5,4.4,77,729,2.14,458,275,285,798
60318,Lannach,3541,14.4,18.6,6.2,80,2.9,67.1,13.6,74.9,1473,2.38,1040,409,463,4180
60305,Frauental an der Laßnitz,2951,14.2,19.5,5.4,75.2,4.9,68.2,9.1,76.7,1228,2.39,873,307,329,1675
50628,Zell am See,9841,12.3,21.1,27,68.5,10.9,59.8,11.5,46.7,4650,2.09,2727,1004,1255,7315
50627,Weißbach bei Lofer,409,15.2,17.1,12.5,73.3,8,69.5,4.9,57.9,149,2.74,115,39,43,164
50626,Wald im Pinzgau,1122,13.5,18.1,10.2,74.6,7.5,69.8,5.6,57.4,430,2.61,333,133,144,457
50625,Viehhofen,606,16,18.2,14,74.4,7.6,67,5.3,69.8,246,2.46,174,62,69,148
50624,Uttendorf,3037,15.6,18.7,9.2,78,4.5,68.6,7.3,63.3,1221,2.45,882,256,276,1053
50623,Unken,1909,14.8,23,12.9,77.8,3.4,70.2,10.3,48.3,774,2.47,566,179,191,795
50622,Taxenbach,2704,16,17.9,8.2,77.7,3.9,70.3,5.4,69.2,1010,2.63,784,226,255,709
50621,Stuhlfelden,1585,13.8,16.1,5,81.2,3.7,69.5,7.3,75.1,601,2.63,461,124,133,499
50620,Sankt Martin bei Lofer,1181,14.1,19.3,14.5,78.9,5.1,72.8,7.3,64.6,497,2.38,329,121,130,464
50619,Saalfelden am Steinernen Meer,16713,14.5,18.3,16.5,75.8,5.2,65.9,10.7,44.5,7385,2.24,4758,1368,1559,7646
50618,Saalbach-Hinterglemm,2816,13.2,17.9,19.2,67.5,16.2,67.5,7.1,24.3,1290,2.17,777,537,596,1932
50617,Rauris,3026,15.4,19.2,5.5,76.3,6.4,70.7,6.8,52.4,1171,2.56,866,293,317,931
50616,Piesendorf,3804,14.4,19.9,12,77.7,3.5,71.1,8.2,65.8,1480,2.54,1128,301,328,1556
50615,Niedernsill,2732,17.1,15.4,6.8,78.2,3.8,71.8,8,74.2,1071,2.55,802,216,235,630
50614,Neukirchen am Großvenediger,2584,14.3,18.6,8.5,75.6,8.3,68.9,7.4,53.4,1016,2.5,743,271,303,1085
50613,Mittersill,5492,14.6,19.3,18.9,75.2,5.2,62.4,8.1,43.8,2241,2.38,1559,501,571,3581
50612,Maria Alm am Steinernen Meer,2216,17.6,18.1,14.3,72.9,8.4,67.9,8,49.1,863,2.57,614,309,345,1009
50611,Maishofen,3625,16.7,17.3,13.3,78,5.2,67.2,11.3,63.9,1466,2.44,1036,343,373,2686
50610,Lofer,2048,15.2,23.1,13.2,78.5,4.6,71.8,7.7,48.9,813,2.44,566,225,255,915
50609,Leogang,3367,15.5,17.8,12.6,77.7,3.8,68.3,8.8,46.9,1260,2.6,935,359,384,1923
50608,Lend,1272,13.1,21.3,12.6,74.6,5.2,65.5,5.5,71.5,512,2.34,357,91,100,527
50607,Krimml,835,13.9,19.4,11.5,70.4,10.5,65.2,7.4,51.6,311,2.68,235,115,124,341
50606,Kaprun,3130,12.5,20.8,24.8,76.2,5.9,67.3,8.3,42.7,1467,2.1,893,344,400,2633
50605,Hollersbach im Pinzgau,1242,15.3,18.4,7.3,78.3,3.6,66.4,7.3,66.5,511,2.43,380,132,148,741
50604,Fusch an der Großglocknerstraße,714,17.2,18.9,11.6,72.4,9.4,71.1,6.8,66.1,279,2.56,215,75,85,273
50603,Dienten am Hochkönig,740,13.1,22,5.9,74.4,11,65.9,4.5,63.8,275,2.69,214,86,94,247
50602,Bruck an der Großglocknerstraße,4786,15.3,19.1,15.1,77.1,5.9,66.1,8.3,63.1,1928,2.42,1384,345,400,2156
50601,Bramberg am Wildkogel,3938,15.6,18.3,4.5,76.9,5.4,67.4,5.7,57.3,1494,2.58,1160,305,345,1431
50515,Zederhaus,1176,16.4,18.7,2,77.3,4,64,3.8,74.2,390,3.02,325,84,89,184
50514,Weißpriach,310,17.4,19.7,2.6,82.1,3,73.4,3.9,64.2,104,2.98,91,38,41,98
50513,Unternberg,1014,16.9,17.7,5.1,78,2.4,70.8,7.1,64.9,356,2.85,289,93,101,577
50512,Tweng,249,18.1,18.9,17.3,68.8,10.1,70.6,7.4,23,110,2.26,63,72,87,286
50511,Thomatal,353,17.8,20.1,4,74.9,7.2,70.7,6.9,71.8,115,3.07,95,24,29,79
50510,Tamsweg,5746,12.7,20.2,11.1,75.9,4.4,64.3,11.2,45.9,2413,2.32,1586,493,602,3582
50509,Sankt Michael im Lungau,3521,13.5,19.8,9.8,75.5,4,65.5,9,50.3,1358,2.56,1020,313,377,1966
50508,Sankt Margarethen im Lungau,718,15.2,16.4,11,77.4,4.7,64.9,9.7,67.8,263,2.69,200,72,79,382
50507,Sankt Andrä im Lungau,769,15.3,22.6,1.8,78.8,3.7,67.4,6.8,79.5,289,2.66,215,51,55,135
50506,Ramingstein,1062,10.8,21.2,6,69.9,5.5,66.1,7.1,71,445,2.39,310,75,88,244
50505,Muhr,490,11.8,20.8,4.3,73.9,4.2,64.8,3.5,79,195,2.51,141,34,38,75
50504,Mauterndorf,1593,12.7,26.7,11,69.7,6.5,64.7,11,52.9,674,2.29,442,181,200,874
50503,Mariapfarr,2395,14.6,23,6.1,76.6,4.9,66.4,10.4,64.8,851,2.75,665,227,245,787
50502,Lessach,536,14.4,18.1,3.4,80.4,2,64.7,6.8,75.5,194,2.76,149,44,46,86
50501,Göriach,343,13.4,17.8,0.6,78.8,2.5,65.7,7.4,67.9,109,3.15,100,36,37,73
50425,Werfenweng,1043,19.3,12.7,11.3,80.7,4.4,70.4,11.3,64,383,2.67,291,122,128,394
50424,Werfen,3051,14.7,18.9,14.3,76,4.7,66.3,7.7,68.4,1289,2.32,882,229,260,1270
50423,Wagrain,3106,15.6,19.1,15.8,77,7.5,66.3,6.8,41.1,1174,2.59,881,390,424,2074
50422,Untertauern,463,19.9,13.8,13.8,72,10.4,74.1,8.4,45.6,194,2.39,128,115,131,335
50421,Schwarzach im Pongau,3494,14,20.7,18.2,75.5,4.1,60.2,7.7,63.4,1560,2.14,949,183,231,2878
50420,Sankt Veit im Pongau,3833,15.9,16.7,7.5,79.9,2.5,67,11.5,74.1,1499,2.49,1102,269,299,1452
50419,Sankt Martin am Tennengebirge,1696,15.2,16.3,10,81,3.2,65.2,8.2,70.8,670,2.53,505,160,178,433
50418,Sankt Johann im Pongau,11218,15.6,16,16.9,78.1,4.2,63.1,11.5,51.3,4776,2.33,3177,949,1122,7622
50417,Radstadt,4885,15.9,18,20.1,74.6,7.5,62.5,9.6,52.4,1927,2.5,1367,513,582,2561
50416,Pfarrwerfen,2438,17,17.2,8.8,81.5,2.5,70.8,8.7,73.1,894,2.67,695,234,251,758
50415,Mühlbach am Hochkönig,1469,13.3,22.7,12.7,70.1,10.7,66.5,5.3,61.1,640,2.23,419,130,140,475
50414,Kleinarl,799,17.9,18,8,71.7,12.8,70,5.3,57.4,294,2.72,240,90,102,249
50413,Hüttschlag,907,17.8,20.9,4.5,83.1,2.1,66,4.8,65.2,331,2.74,256,63,67,212
50412,Hüttau,1463,15.9,19.1,15.9,80.7,4.5,64.5,4.7,69.7,555,2.55,401,143,152,406
50411,Großarl,3790,18,14.5,8.1,81.2,4.3,71.1,6,38.8,1362,2.74,1043,379,405,2013
50410,Goldegg,2565,16.8,16.7,5,80.2,2.2,66.9,13.5,75.5,1006,2.54,767,220,233,591
50409,Forstau,552,19,17.9,3.1,78.4,5.3,72.9,7.8,64.4,184,3,167,60,66,285
50408,Flachau,2877,17.2,14.8,11.7,75,7.8,70.1,9.9,55.4,1139,2.53,808,391,447,1523
50407,Filzmoos,1508,18.3,14.9,16.4,68.3,12.7,70.5,5.4,48,574,2.63,408,178,191,498
50406,Eben im Pongau,2534,18.8,14.9,15.4,77.8,4.7,66.1,8.3,66.2,989,2.56,726,233,257,1078
50405,Dorfgastein,1618,14.1,19.5,6.3,77.8,5,69.8,8.8,66.2,629,2.57,483,165,175,490
50404,Bischofshofen,10586,14.5,19.9,19.1,74.8,6,61.3,8.3,60,4716,2.21,2998,697,857,5098
50403,Bad Gastein,3923,11.4,24.9,25.1,69.5,10,65,8.7,45.8,1886,2.05,1065,325,376,1788
50402,Bad Hofgastein,6861,13.2,21.5,17.4,74.8,5.9,66.3,8.7,35.7,3006,2.24,1933,576,650,3439
50401,Altenmarkt im Pongau,4404,16.1,15.9,16,79.5,6,66.1,11,50.6,1755,2.47,1245,486,553,3035
50339,Seekirchen am Wallersee,10943,16.4,17.6,11.3,80.1,2.4,64.7,16.7,70.9,4398,2.43,3116,861,950,6274
50338,Wals-Siezenheim,13301,15.4,17.4,11.2,80.4,2.4,66.6,15.5,67.3,5732,2.3,3818,1170,1463,14349
50337,Thalgau,5977,15.1,17.2,8.6,81.6,2.6,67.9,11.5,68.9,2387,2.48,1751,536,593,3010
50336,Strobl,3649,15.3,21,8,78.6,2.9,67.2,12.8,63.6,1459,2.48,994,325,362,1391
50335,Straßwalchen,7633,16.7,14.6,13.6,80.1,2.5,65.5,8.4,64.9,3036,2.49,2184,628,699,3970
50332,Seeham,1917,14.6,17.2,8.5,81.6,1.8,69,15.8,77.3,822,2.33,552,192,206,506
50331,Schleedorf,1081,16.4,14.8,6,81.3,1.6,71.1,9.1,77.6,388,2.79,316,94,102,243
50330,Sankt Gilgen,3954,13.2,21.6,17.7,73.7,3.4,63.1,15.4,59,1651,2.31,1030,408,449,1751
50329,Sankt Georgen bei Salzburg,2995,16.2,16.3,5.7,80.1,2.2,70.7,9.2,74.8,1137,2.63,891,222,238,952
50328,Plainfeld,1240,14.1,16.8,8.1,82.7,2.7,69.4,14.8,78.3,516,2.4,361,120,131,341
50327,Obertrum am See,4833,16.8,16.3,8.6,81.4,2.4,69.2,13.8,71.7,2007,2.39,1378,414,462,1867
50326,Oberndorf bei Salzburg,5818,15.2,18.6,21,74.3,4.5,60.9,13.6,73.3,2554,2.24,1619,383,457,2375
50325,Nußdorf am Haunsberg,2387,16.4,15.7,6.4,81.6,2.3,67.9,10.2,76.6,894,2.66,697,220,233,803
50324,Neumarkt am Wallersee,6384,17.6,15.6,13.8,78.8,3.4,63.8,13.3,69.6,2666,2.37,1799,507,571,2979
50323,Mattsee,3389,15.2,20.3,12.1,79.1,1.8,63.3,18.8,71.3,1468,2.28,950,281,323,1112
50322,Lamprechtshausen,3979,17.5,14.9,10.5,78.5,2.8,65.3,11.5,70.5,1521,2.62,1161,346,376,2077
50321,Koppl,3632,16.4,15,8.4,79,2.2,65.5,19.1,79.3,1413,2.57,1064,316,340,1064
50320,Köstendorf,2669,16.2,17.8,7.3,81.2,2.6,69.7,10.7,74.2,999,2.62,745,210,226,1256
50319,Hof bei Salzburg,3587,15.2,19.4,11.8,79.9,2.3,65.6,14.6,71.2,1452,2.42,1009,318,366,1735
50318,Hintersee,466,15.9,13.3,6.9,80.3,1.4,70.7,8.9,74.6,157,2.97,141,50,56,116
50317,Henndorf am Wallersee,4926,15.9,18.2,10.5,81.1,2.5,64.4,14.8,72,2099,2.35,1475,413,460,2057
50316,Hallwang,4252,15.4,19,9.4,80.1,2.3,65.1,16.6,77.5,1762,2.36,1199,413,463,2133
50315,Großgmain,2618,15.4,22.7,18.8,78.4,2.3,63.3,19.4,76.9,1141,2.24,720,202,226,919
50314,Grödig,7375,14.2,20.2,19.2,77.7,3.3,61.8,14.1,73,3298,2.21,2075,519,577,3976
50313,Göming,778,18.6,15.2,4.5,82.7,1.6,70.8,12.6,77.2,295,2.64,222,74,82,203
50312,Fuschl am See,1562,14.6,15.7,17.3,80,1.5,63.9,18,62.1,677,2.29,440,171,189,1264
50311,Faistenau,3089,17.1,15.2,7.5,79.6,2.2,69.9,10.5,72.6,1138,2.7,909,263,281,703
50310,Eugendorf,7037,15.3,17.4,10.1,80.2,2.5,67.5,13,72,2719,2.55,2040,639,761,4792
50309,Elsbethen,5482,13.2,20.7,11.4,78.5,2.2,58.8,24.8,79.4,2485,2.18,1557,453,511,2610
50308,Elixhausen,3036,14.6,20,9.7,81.5,1.7,65.5,17.4,78,1276,2.37,903,266,295,1129
50307,Ebenau,1430,17.8,18.8,6.5,79.2,1.7,67.1,13.6,71.3,570,2.51,417,126,138,395
50306,Dorfbeuern,1563,16.8,16.6,7.7,82.1,2,64.4,12.2,78,584,2.66,441,126,136,337
50305,Bürmoos,4971,15.6,17.9,12.5,75.2,4.2,64.3,10.2,76.7,2004,2.44,1459,202,230,1786
50304,Berndorf bei Salzburg,1708,13.4,17.6,5.7,79.1,2.5,70.1,9.1,74.8,699,2.43,503,162,171,488
50303,Bergheim,5510,15.1,18.8,14.8,78.1,2.5,62.6,18.5,74.2,2293,2.34,1531,530,677,4985
50302,Anthering,3735,15.8,16.7,9,81.3,2.3,67.3,14.7,76.1,1598,2.33,1090,308,340,1296
50301,Anif,4233,13.8,22.7,15.9,77.7,2.3,60.2,23.4,72.8,1796,2.32,1204,466,525,3247
50213,Bad Vigaun,2059,16.7,18,7.9,82.1,1.9,69.7,10.9,77.8,858,2.4,600,153,162,748
50212,Scheffau am Tennengebirge,1418,17.1,18.8,4.6,80.3,1.1,70.5,10,75.5,542,2.62,410,130,132,372
50211,Sankt Koloman,1765,18.1,16.9,5.6,81.7,1,69.3,9.8,76.1,645,2.74,506,156,165,328
50210,Rußbach am Paß Gschütt,770,13,19.1,5.6,75.3,2.9,67.8,5.2,71.3,297,2.59,228,60,67,195
50209,Puch bei Hallein,4740,14.1,17.3,14.6,75,2.4,63.3,18.8,79.8,1876,2.37,1300,395,430,3903
50208,Oberalm,4440,14.8,21.8,13,78,2.8,60.4,20.2,81.7,1886,2.27,1251,318,353,1283
50207,Kuchl,7381,17.2,17.4,9.9,79.9,2.4,65.5,14.3,67.9,2871,2.55,2085,589,642,3165
50206,Krispl,876,18,17.8,2.5,81.5,1.9,73,7.1,71.8,323,2.71,248,101,104,214
50205,Hallein,21328,16.1,16.6,22.6,75.5,5.1,59.3,13.4,66.9,9592,2.21,5917,1392,1653,9842
50204,Golling an der Salzach,4311,16.8,18.4,15.6,78.2,2.7,66,12,68.8,1820,2.35,1207,309,354,1639
50203,Annaberg-Lungötz,2237,16.2,20.2,9.3,79.5,2,65.3,6.3,55.4,865,2.59,630,211,228,911
50202,Adnet,3608,15.8,18.9,6.2,82.3,1.3,69.2,13.6,72.6,1473,2.45,1098,331,357,1532
50201,Abtenau,5912,15,18.6,10.6,80.1,2.6,66.8,7.9,42.2,2118,2.74,1677,590,651,2833
41824,Weißkirchen an der Traun,3424,16.2,16.3,7.3,81.4,2.2,66.5,12.5,80,1354,2.53,1067,295,316,1472
41823,Thalheim bei Wels,5531,14.8,21.3,12,78,3.8,60,19.6,78.8,2486,2.19,1579,499,548,3022
41822,Steinhaus,2265,17.5,17.9,5.7,79.4,2.2,64.9,14.1,75.8,868,2.61,691,224,239,2169
41821,Steinerkirchen an der Traun,2390,17.6,18.7,4.6,82.9,0.8,65.9,9.5,72.1,794,2.92,670,237,248,742
41820,Stadl-Paura,5004,13.6,20.8,18,77.2,4.8,63.3,6.5,80.3,2235,2.2,1445,324,366,1322
41819,Sipbachzell,2081,18.8,14.5,5.3,80.7,2.9,66,12.8,75.9,791,2.63,610,200,208,1159
41818,Schleißheim,1425,19.6,13.7,7.1,82.5,2.8,64.6,17.3,85.1,555,2.57,427,92,96,218
41817,Sattledt,2712,16.6,15.9,13.2,81.6,3.7,65.3,9,66.6,1077,2.51,773,235,284,4381
41816,Pichl bei Wels,2914,16.3,16.2,8.9,78.7,2.6,65.7,11,77.8,1096,2.66,863,232,255,1147
41815,Pennewang,919,18.8,14.5,3.5,83,1.7,68.8,12.9,76.8,363,2.53,271,96,102,203
41814,Offenhausen,1710,17.5,14.9,9.6,81.9,2.7,67.3,9.4,77.7,678,2.52,478,120,129,416
41813,Neukirchen bei Lambach,931,16.5,17.8,4.9,79.9,2.4,68.3,12.5,84.4,368,2.53,287,69,70,229
41812,Marchtrenk,14038,16.4,16.3,16.4,78.4,3.9,64,8.5,73.7,5766,2.41,4084,893,1018,7742
41811,Lambach,3605,15.2,19.3,23.1,75,5.3,57.6,10.6,78.9,1603,2.16,943,204,241,1500
41810,Krenglbach,3177,17.2,17.1,5.8,79.3,2.4,68,12.8,83.2,1271,2.5,974,226,244,1122
41809,Holzhausen,1032,20,10.3,6.2,86,2.2,67.3,15,82.4,428,2.37,303,93,99,713
41808,Gunskirchen,6276,16.1,17.9,10.3,80.3,2.8,66.1,11.5,68.3,2478,2.5,1860,497,538,5040
41807,Fischlham,1359,15.4,19.4,3.5,80,2.3,66.5,9.2,76.5,545,2.49,416,131,135,455
41806,Edt bei Lambach,2259,15.4,17.6,8.9,79.1,2.4,70,9,81.6,960,2.35,693,182,199,1582
41805,Eberstalzell,2701,17.8,15.7,6.3,84.4,1.2,65.9,8.6,69.1,933,2.83,755,238,258,1757
41804,Buchkirchen,4069,15.3,17.7,4.7,81.2,2.2,68.4,11.9,81.2,1643,2.48,1235,305,322,1243
